"county","mean_PF","min_PF","max_PF","mean_IE","min_IE","max_IE","mean_SPF","min_SPF","max_SPF","mean_SFS","min_SFS","max_SFS","mean_SF","min_SF","max_SF","mean_SS","min_SS","max_SS","mean_TF","min_TF","max_TF","mean_IF","min_IF","max_IF","area_uncert"
"Lee",1077.61285878149,1077.4952250997,1077.84812614508,990.817656825883,987.582922079675,992.848731149519,921.369058701407,903.076735369326,936.669584413548,921.369058701407,903.076735369326,936.669584413548,689.726752697364,610.683258539297,781.214965268486,689.726752697364,610.683258539297,781.214965268486,254.627792370899,136.549230558511,410.888335652013,254.627792370899,136.549230558511,410.888335652013,1.19320450191628
"Livingston",902.059145936469,902.059145936469,902.059145936469,855.786423388984,854.169040070144,858.271839927314,842.416233630955,835.503503157236,848.353541084937,842.416233630955,835.503503157236,848.353541084937,777.265315655423,751.009744264717,797.837856305017,777.265315655423,751.009744264717,797.837856305017,82.5502527667456,14.0608787586943,169.095329415673,82.5502527667456,14.0608787586943,169.095329415673,1.05434898053913
"Logan",1619.70562522024,1619.70562522024,1619.70562522024,1568.3629042232,1562.94241044577,1575.66563071349,1560.17402045286,1554.44269708063,1567.70660389308,1560.17402045286,1554.44269708063,1567.70660389308,1508.02173922512,1480.79347945657,1537.09357016361,1508.02173922512,1480.79347945657,1537.09357016361,106.772562802712,43.1568133130293,190.974231947748,106.772562802712,43.1568133130293,190.974231947748,1.00325679866852
"Macon",1312.51089868823,1312.51089868823,1312.51089868823,1233.48113119814,1227.19579643713,1238.0609708328,1227.19867063552,1218.15888011025,1234.29801180638,1227.19867063552,1218.15888011025,1234.29801180638,1067.13873211238,1045.33239963281,1087.97876011019,1067.13873211238,1045.33239963281,1087.97876011019,88.7301189132402,24.1968864826635,179.680753543305,88.7301189132402,24.1968864826635,179.680753543305,1.14678695744886
"Macoupin",2956.34769284187,2954.53068032436,2958.16470535938,2009.31373453434,1911.91579361881,2076.73064584821,1956.93265201493,1855.32223740791,2028.36711420728,1956.93265201493,1855.32223740791,2028.36711420728,1851.30881153526,1716.36164646908,1951.18322734687,1851.30881153526,1716.36164646908,1951.18322734687,390.639477603534,136.873087291573,796.846630427219,390.639477603534,136.873087291573,796.846630427219,1.38588883672554
"Madison",6756.56567379979,6756.56567379979,6756.56567379979,6108.76156321674,6038.52295238043,6143.51077594149,6072.6513097041,5994.42800761214,6115.53805150156,6072.6513097041,5994.42800761214,6115.53805150156,5939.99363902127,5824.64828220926,6015.0415133367,5939.99363902127,5824.64828220926,6015.0415133367,1969.93636514933,1768.22834576674,2202.69839139446,1969.93636514933,1768.22834576674,2202.69839139446,0.805830712882572
"Marion",5365.93600670132,5365.93600670132,5365.93600670132,5000.29848229033,4937.18543645538,5033.54387001751,4953.98583388754,4886.11108268337,4989.65947232675,4953.98583388754,4886.11108268337,4989.65947232675,4858.98681505205,4766.53537865846,4912.81997705133,4858.98681505205,4766.53537865846,4912.81997705133,396.562539366023,116.497649255133,843.210418905985,396.562539366023,116.497649255133,843.210418905985,1.02271803906553
"Marshall",1437.90632843303,1436.19245430454,1438.24910325872,1354.25148139115,1347.69404146699,1358.85813330757,1321.67295868116,1309.7246812085,1328.06384225212,1321.67295868116,1309.7246812085,1328.06384225212,719.517912505594,672.753500980704,773.940615164316,719.517912505594,672.753500980704,773.940615164316,129.572394820833,18.6885344401116,325.896449881496,129.572394820833,18.6885344401116,325.896449881496,1.81834796726068
"Mason",5413.46792732303,5413.46792732303,5413.46792732303,5332.63109619926,5328.82814543226,5339.55088072624,4241.42607897238,4176.17879588811,4335.41930915014,4241.42607897238,4176.17879588811,4335.41930915014,2760.40928962277,2575.72224191534,3010.52240215223,2760.40928962277,2575.72224191534,3010.52240215223,581.77264762343,335.142724140992,907.748629144693,581.77264762343,335.142724140992,907.748629144693,1.75035466583287
"Massac",3027.43609854408,3027.43609854408,3027.43609854408,2801.19273994195,2792.62701455407,2809.44981518172,2655.19510376336,2606.65914511721,2745.2913021568,2655.19510376336,2606.65914511721,2745.2913021568,2253.39080322933,2115.57474776534,2450.62653880898,2253.39080322933,2115.57474776534,2450.62653880898,1126.73834347566,824.251375701949,1577.75584901085,1126.73834347566,824.251375701949,1577.75584901085,0.843483408357101
"McDonough",2117.09293482541,2116.74132702512,2117.796150426,1896.01406161544,1859.28335028521,1940.29106878517,1887.81778746174,1847.39474531817,1935.21551547083,1887.81778746174,1847.39474531817,1935.21551547083,1677.77316100502,1590.51258672516,1774.21491799331,1677.77316100502,1590.51258672516,1774.21491799331,240.892827943325,47.7546809932647,554.671891556533,240.892827943325,47.7546809932647,554.671891556533,1.11826804152607
"McHenry",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"McLean",1095.03891469047,1094.90171655672,1095.08464740172,954.862836942892,946.268232310663,962.874984330415,950.891633781439,940.455535241234,960.515001177386,950.891633781439,940.455535241234,960.515001177386,916.176686146685,888.525214022122,938.406282402715,916.176686146685,888.525214022122,938.406282402715,76.0115590383733,14.2727192363509,155.605516643838,76.0115590383733,14.2727192363509,155.605516643838,1.11226073645029
"Menard",1033.66901704875,1033.66901704875,1033.66901704875,915.224446085242,900.718432946519,926.393812381191,906.193399715138,890.177306252155,919.423053229338,906.193399715138,890.177306252155,919.423053229338,884.117204622723,861.251094418166,902.525567852535,884.117204622723,861.251094418166,902.525567852535,105.268192480668,45.2173338237164,206.897789472367,105.268192480668,45.2173338237164,206.897789472367,1.05008795181658
"Mercer",2394.82103423841,2389.0447393599,2396.74646586458,2131.65358608552,2118.72045477194,2141.61304734458,2100.24946638267,2077.25871794294,2116.39827271402,2100.24946638267,2077.25871794294,2116.39827271402,1866.45216206055,1785.43951223402,1941.25697908811,1866.45216206055,1785.43951223402,1941.25697908811,891.637509288429,737.954293445963,1072.64986251922,891.637509288429,737.954293445963,1072.64986251922,0.805369435930509
"Monroe",4451.12976646576,4451.12976646576,4451.12976646576,4092.51105686533,4043.60275286849,4114.68892394373,4066.49852556491,4005.53711481806,4104.61666377363,4066.49852556491,4005.53711481806,4104.61666377363,2855.94768853643,2654.98472515385,3039.12538917926,2855.94768853643,2654.98472515385,3039.12538917926,1630.02765495633,1272.34792507794,1988.30399985705,1630.02765495633,1272.34792507794,1988.30399985705,0.98779894422896
"Montgomery",2262.34045960866,2262.34045960866,2262.34045960866,1868.03871784772,1824.5403119846,1906.38695728602,1823.5564432036,1777.27755970427,1866.12160036462,1823.5564432036,1777.27755970427,1866.12160036462,1715.20736017231,1652.38563690679,1781.89117906732,1715.20736017231,1652.38563690679,1781.89117906732,277.630756893772,77.2808067671876,624.939202752457,277.630756893772,77.2808067671876,624.939202752457,1.1571252250897
"Morgan",1374.68922298053,1371.06194566295,1383.3978643584,1000.11415655905,969.12128495885,1055.33955923699,938.941035915379,906.084870701807,998.900388025933,938.941035915379,906.084870701807,998.900388025933,839.550505149714,786.71262924255,926.248151861323,839.550505149714,786.71262924255,926.248151861323,115.06857757852,13.8504263913655,316.771690488185,115.06857757852,13.8504263913655,316.771690488185,1.50035124471444
"Moultrie",1514.74923461356,1514.74923461356,1514.74923461356,1429.08471684145,1428.73794810615,1429.18308031827,730.96952813196,720.164753707332,753.224606915128,730.96952813196,720.164753707332,753.224606915128,654.024155494498,626.758487545808,694.591584341327,654.024155494498,626.758487545808,694.591584341327,60.2801162147978,14.9504812241807,134.069147365554,56.2854621169287,9.15972830848495,133.822561751657,2.2299845659277
"Ogle",1416.97249790651,1412.10540841112,1422.46683403252,1372.94606786036,1365.80722686234,1381.51792511854,1356.82082431551,1343.18513200255,1368.88990117696,1356.82082431551,1343.18513200255,1368.88990117696,757.926272134134,691.785117814339,856.939822560621,757.370208322035,691.043699398206,856.939822560621,162.564515972598,49.2144234881415,341.304558942741,162.564515972598,49.2144234881415,341.304558942741,1.65626792307169
"Peoria",2856.29618826409,2856.29618826409,2856.29618826409,2422.06062472435,2405.70112551205,2436.06996940348,2371.22404028777,2344.22651377363,2397.99787039984,2371.22404028777,2344.22651377363,2397.99787039984,1981.31416705905,1894.83352012578,2051.35258177254,1981.31416705905,1894.83352012578,2051.35258177254,398.144758459249,196.707806049125,665.450166472309,398.144758459249,196.707806049125,665.450166472309,1.24066716458883
